Complainant,Title,depth_index,Violator
Chinese Taipei,Indonesia - Iron or Steel Products (Chinese Taipei) (Viet Nam),8,Indonesia
China,EU - Poultry Meat (China),6,EU
Chinese Taipei,India - Anti-Dumping Duties on USB Flash Drives from Chinese Taipei,1,India
Ukraine,Russia - Railway Equipment,8,Russia
Pakistan,South Africa - Provisional Anti-Dumping Duties on Portland Cement from Pakistan,1,South Africa
US,China - Tax Measures Concerning Certain Domestically Produced Aircraft,1,China
India,US - Measures Concerning the Non-Immigrant Visas,1,United States
Japan,Korea - Pneumatic Valves (Japan),8,Korea
Turkey,Morocco - Hot-Rolled Steel  (Turkey),8,Morocco
US,China - Subsidies to Producers of Primary Aluminium,1,China
Turkey,US - Pipes and Tubes (Turkey),6,United States
US,China - Intellectual Property Rights II,4,China
China,US - Tariff Measures on Certain Goods from China,6,United States
China,US - Certain Measures on Steel and Aluminium Products,6,United States
India,US - Certain Measures on Steel and Aluminium Products,4,United States
EU,China - Certain Measures on the Transfer of Technology,1,China
Japan,Korea - Sunset Review of Anti-Dumping Duties on Stainless Steel Bars,5,Korea
Tunisia,Morocco - Provisional Anti-Dumping Measures on School Exercise Books from Tunisia,1,Morocco
US,China - Additional Duties on Certain Products from the United States,4,China
US,EU - Additional Duties on Certain Products from the United States,4,EU
US,Mexico - Additional Duties on Certain Products from the United States,5,Mexico
US,Turkey - Additional Duties on Certain Products from the United States,4,Turkey
Japan,Korea - Measures affecting Trade in Commercial Vessels (Japan),1,Korea
Venezuela,US - Goods and Services (Venezuela),2,United States
Venezuela,Colombia - Liquid Fuels,1,Colombia
EU,US - Ripe Olives from Spain,6,United States
Canada,China - Canola Seed (Canada),3,China
Korea,Japan - Products and Technology (Korea),3,Japan
Peru,Brazil - PET film and other Products ,1,Brazil
"Hong Kong, China",United States - Origin Marking Requirement,6,United States
Japan,China - AD on Stainless Steel (Japan),4,China
Saudi Arabia,EU - Provisional AD Duty on MEG (Saudi Arabia),1,EU
EU,Russia - Wood (EU),1,Russia
South Africa,EU - Citrus Fruit (South Africa),1,EU
